Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
3/1/1933,0:00,5.499,4.439,4.281,3.75,3.829,3.379,2.94,1.299,11
4/1/1933,0:00,5.499,4.639,4.482,3.901,4.039,3.589,3.081,0.499,0
5/1/1933,0:00,5.499,4.849,4.721,4.18,4.301,3.881,3.35,2.7,0
6/1/1933,0:00,5.098,4.531,4.39,3.829,3.96,3.53,2.969,2.1,0
7/1/1933,0:00,6.699,4.58,4.449,3.901,3.999,3.56,2.989,2.001,0
8/1/1933,0:00,7.001,4.701,4.639,4.14,4.219,3.789,3.261,2.402,0
9/1/1933,0:00,6.699,5.01,4.921,4.439,4.511,4.101,3.609,2.999,0
10/1/1933,0:00,5.6,4.849,4.731,4.291,4.35,3.97,3.54,2.402,0
11/1/1933,0:00,5.699,4.409,4.239,3.72,3.799,3.36,2.822,1.801,0
12/1/1933,0:00,5.2,4.16,3.99,3.451,3.54,3.091,2.52,1.201,0
1/1/1934,0:00,5.3,4.229,4.121,3.599,3.661,3.209,2.68,1.8,0
2/1/1934,0:00,4.8,4.019,3.891,3.369,3.442,2.979,2.52,1.299,0
3/1/1934,0:00,5.499,4.009,3.891,3.389,3.442,2.999,2.589,0.899,0
4/1/1934,0:00,5,4.281,4.14,3.661,3.701,3.261,2.822,2.201,0
5/1/1934,0:00,4.902,4.281,4.131,3.629,3.701,3.271,2.69,1.499,0
6/1/1934,0:00,5.499,4.268,4.14,3.629,3.701,3.261,2.69,1.601,0
7/1/1934,0:00,9.301,4.18,4.049,3.501,3.56,3.061,2.53,1.601,0
8/1/1934,0:00,5.299,4.17,4.058,3.54,3.619,3.179,2.641,1.801,0
9/1/1934,0:00,5,4.501,4.409,3.911,3.98,3.56,3.091,2.598,0
10/1/1934,0:00,5.098,4.669,4.531,4.058,4.121,3.72,3.271,2.5,0
11/1/1934,0:00,6.099,4.639,4.439,3.911,3.97,3.501,3.009,1.299,0
12/1/1934,0:00,5.4,4.101,3.911,3.369,3.442,2.979,2.431,0.299,0
1/1/1935,0:00,5,4.029,3.862,3.301,3.379,2.91,2.339,0.6,0
2/1/1935,0:00,5.1,3.999,3.871,3.32,3.379,2.9,2.461,1.3,0
